,car_name,company_name,year,price,kms_driven,fuel_type
1146,Hyundai i20 SPORTZ,Hyundai,2017,450000,90000,Petrol
1147,Maruti Suzuki Zen,Maruti,2010,115000,70000,Petrol
1148,Maruti Suzuki S,Maruti,2024,460000,42000,Petrol
1149,Maruti Suzuki Alto,Maruti,2014,150000,85000,Petrol
1150,Hyundai i10 Magna,Hyundai,2011,150000,45000,Petrol
1151,Toyota Innova Crysta,Toyota,2016,1100000,64500,Diesel
1152,Fiat Punto Sport,Fiat,2017,275000,0,Diesel
1153,Mahindra TUV300 T8,Mahindra,2016,595000,78000,Diesel
1154,Maruti Suzuki Alto,Maruti,2012,165000,98000,CNG
1155,Kia Carens,Kia,2023,1050000,80000,Petrol
1156,Maruti Suzuki Alto,Maruti,2014,2250000,0,Petrol
1157,Maruti Suzuki Swift,Maruti,2023,672000,40000,Petrol
1158,Maruti Suzuki Ertiga,Maruti,2021,850000,8000,CNG
1159,Datsun RediGo S,Datsun,2018,183000,86000,Petrol
1160,Maruti Suzuki Vitara,Maruti,2024,1000000,0,Petrol
1161,Maruti Suzuki Maruti,Maruti,2013,115000,60000,Petrol
1162,Maruti Suzuki Wagon,Maruti,2011,135000,70000,CNG
1163,Hyundai i20 Asta,Hyundai,2012,510000,71000,Diesel
1164,Hyundai i20 SPORTZ,Hyundai,2017,450000,90000,Petrol
1165,Maruti Suzuki Zen,Maruti,2010,115000,70000,Petrol
1166,Maruti Suzuki S,Maruti,2024,460000,42000,Petrol
1167,Maruti Suzuki Alto,Maruti,2014,150000,85000,Petrol
1168,Hyundai i10 Magna,Hyundai,2011,150000,45000,Petrol
1169,Toyota Innova Crysta,Toyota,2016,1100000,64500,Diesel
1170,Fiat Punto Sport,Fiat,2017,275000,0,Diesel
1171,Mahindra TUV300 T8,Mahindra,2016,595000,78000,Diesel
1172,Maruti Suzuki Swift,Maruti,2017,360000,76130,Diesel
1173,Volkswagen Polo Highline,Volkswagen,2013,425000,88700,Diesel
1174,Honda City 1.5,Honda,2009,190000,1480,Petrol
1175,Honda City 1.5,Honda,2009,190000,1480,Petrol
1176,Maruti Suzuki Alto,Maruti,2017,265000,68000,Petrol
1177,Tata Indica Vista,Tata,2012,115000,0,Diesel
1178,Toyota Fortuner 2.8,Toyota,2018,1700000,63000,Diesel
1179,Maruti Suzuki Alto,Maruti,2020,290000,95000,Hybrid
1180,Honda City 1.5,Honda,2010,235000,89653,Petrol
1181,Hyundai i20 Asta,Hyundai,2010,200000,88000,Petrol
1182,Honda City 1.5,Honda,2010,235000,89653,Petrol
1183,Skoda Fabia Scout,Skoda,2008,160000,85000,Petrol
1184,Skoda Fabia Scout,Skoda,2008,160000,85000,Petrol
1185,Maruti Suzuki Vitara,Maruti,2020,640000,75000,Petrol
1186,Maruti Suzuki Wagon,Maruti,2018,250000,85000,CNG
1187,Skoda Slavia 1.0,Skoda,2022,1300000,67000,Petrol
1188,Mahindra XUV 300,Mahindra,2022,850000,39500,Petrol
1189,Maruti Suzuki Zen,Maruti,2007,120000,10000,Petrol
1190,Maruti Suzuki Zen,Maruti,2007,120000,10000,Petrol
1191,Hyundai i10 Sportz,Hyundai,2010,139998,12000,Petrol
1192,Hyundai Grand i10,Hyundai,2017,330000,64000,Petrol
1193,Honda City 1.5,Honda,2022,1275000,2750,Petrol
1194,Mahindra XUV 700,Mahindra,2024,2685000,5000,Petrol
1195,Maruti Suzuki Alto,Maruti,2020,290000,95000,Hybrid
1196,Honda City 1.5,Honda,2010,235000,89653,Petrol
1197,Hyundai i20 Asta,Hyundai,2010,200000,88000,Petrol
1198,Honda City 1.5,Honda,2010,235000,89653,Petrol
1199,Skoda Fabia Scout,Skoda,2008,160000,85000,Petrol
1200,Skoda Fabia Scout,Skoda,2008,160000,85000,Petrol
1201,Maruti Suzuki Vitara,Maruti,2020,640000,75000,Petrol
1202,Maruti Suzuki Wagon,Maruti,2018,250000,85000,CNG
1203,Skoda Slavia 1.0,Skoda,2022,1300000,67000,Petrol
1204,Mahindra XUV 300,Mahindra,2022,850000,39500,Petrol
1205,Maruti Suzuki Zen,Maruti,2007,120000,10000,Petrol
1206,Maruti Suzuki Zen,Maruti,2007,120000,10000,Petrol
1207,Hyundai i10 Sportz,Hyundai,2010,139998,12000,Petrol
1208,Hyundai Grand i10,Hyundai,2017,330000,64000,Petrol
1209,Honda City 1.5,Honda,2022,1275000,2750,Petrol
1210,Mahindra XUV 700,Mahindra,2024,2685000,5000,Petrol
1211,Hyundai Tucson 2WD,Hyundai,2017,700000,10000,Petrol
1212,Tata NEXON EV,Tata,2023,1050000,44100,Petrol
1213,Hyundai i10 Sportz,Hyundai,2009,170000,72000,Petrol
1214,Maruti Suzuki Ciaz,Maruti,2022,750000,56000,Petrol
1215,Maruti Suzuki Alto,Maruti,2011,120000,56000,Petrol
1216,Mahindra Thar CRDe,Mahindra,2016,500000,99720,Diesel
1217,Hyundai Fluidic Verna,Hyundai,2012,340000,95000,Diesel
1218,Maruti Suzuki Eeco,Maruti,2019,440000,45000,Petrol
1219,Mahindra XUV500,Mahindra,2017,599000,65000,Diesel
1220,Maruti Suzuki Eeco,Maruti,2019,450000,45000,Petrol
1221,Hyundai i10 Magna,Hyundai,2013,258000,63000,Petrol
1222,Hyundai i10 Magna,Hyundai,2013,258000,63000,Petrol
1223,Hyundai i20 Sportz,Hyundai,2012,190000,90000,Diesel
1224,Hyundai i20 Sportz,Hyundai,2012,239000,80000,Diesel
1225,Maruti Suzuki Swift,Maruti,2016,305000,20000,Diesel
1226,Maruti Suzuki Wagon,Maruti,2013,210000,31000,CNG
1227,Mahindra Quanto C8,Mahindra,2012,350000,43000,Diesel
1228,Maruti Suzuki Swift,Maruti,2024,680000,25000,CNG
1229,Maruti Suzuki Eeco,Maruti,2011,315000,10000,Petrol
1230,Maruti Suzuki Ertiga,Maruti,2024,1021000,17000,Petrol
1231,MG Motors Hector,MG,2022,2050000,11800,Diesel
1232,Hyundai Santa Fe,Hyundai,2014,430000,95700,Diesel
1233,Mahindra Thar CRDe,Mahindra,2016,500000,99720,Diesel
1234,Hyundai Fluidic Verna,Hyundai,2012,340000,95000,Diesel
1235,Maruti Suzuki Eeco,Maruti,2019,440000,45000,Petrol
1236,Mahindra XUV500,Mahindra,2017,599000,65000,Diesel
1237,Maruti Suzuki Eeco,Maruti,2019,450000,45000,Petrol
1238,Hyundai i10 Magna,Hyundai,2013,258000,63000,Petrol
1239,Hyundai i10 Magna,Hyundai,2013,258000,63000,Petrol
1240,Hyundai i20 Sportz,Hyundai,2012,190000,90000,Diesel
1241,Hyundai i20 Sportz,Hyundai,2012,239000,80000,Diesel
